etykieta_semantyczna,original_symbol,original_name
bariera_nieznajomość_oferty,rP6_12,"Bariera: nie znam oferty kulturalnej w mojej okolicy"
bariera_inne,rP6_13,"Bariera: inne problemy"
bariera_żadne,rP6_14,"Bariera: żadne z powyższych"
bariera_inne_tekst,P6_TXT,"Bariera: inne (tekst)"
bariera_inne_kategoria,rP6_TXT_1,"Bariera: inne (kategoria)"
wiedza_o_ofercie_kulturalnej_gzm,P7,"P7. Poziom wiedzy na temat aktualnej oferty kulturalnej w Metropolii GZM"
wiedza_o_ofercie_kulturalnej_gzm_top3,T3B_P7,"P7. Poziom wiedzy na temat aktualnej oferty kulturalnej w Metropolii GZM (Top 3 Box)"
ostatnio_kino,rP8_1,"Ostatnio odwiedzone: wizyta w kinie"
ostatnio_teatr,rP8_2,"Ostatnio odwiedzone: wizyta w teatrze"
ostatnio_koncert,rP8_3,"Ostatnio odwiedzone: uczestnictwo w koncercie"
ostatnio_muzeum,rP8_4,"Ostatnio odwiedzone: wizyta w muzeum / galerii sztuki"
ostatnio_park_rozrywki,rP8_5,"Ostatnio odwiedzone: wizyta w parku rozrywki"
ostatnio_dom_kultury,rP8_6,"Ostatnio odwiedzone: wizyta w domu kultury / centrum kultury"
ostatnio_biblioteka,rP8_7,"Ostatnio odwiedzone: wizyta w bibliotece"
ostatnio_zoo,rP8_8,"Ostatnio odwiedzone: wizyta w zoo"
ostatnio_filharmonia,rP8_9,"Ostatnio odwiedzone: wizyta w filharmonii lub operze"
ostatnio_spotkanie_z_artystą,rP8_10,"Ostatnio odwiedzone: uczestnictwo w spotkaniu z artystą"
ostatnio_piknik,rP8_11,"Ostatnio odwiedzone: udział w pikniku / festynie"
ostatnio_inna_aktywność,rP8_12,"Ostatnio odwiedzone: inna aktywność"
ostatnio_żadne,rP8_13,"Ostatnio odwiedzone: żadna z powyższych"
nazwa_odwiedzonego_teatru,P8_2_TXT,Nazwa odwiedzonego teatru
kategoria_odwiedzonego_teatru,P8_2_TXT_1,Kategoria odwiedzonego teatru
szczegóły_odwiedzonego_teatru_2,P8_2_TXT_2,"Szczegóły odwiedzonego teatru 2"
szczegóły_odwiedzonego_teatru_3,P8_2_TXT_3,"Szczegóły odwiedzonego teatru 3"
szczegóły_odwiedzonego_teatru_4,P8_2_TXT_4,"Szczegóły odwiedzonego teatru 4"
nazwa_artysty_koncertowego,P8_3_TXT,"Nazwa artysty koncertowego"
kategoria_artysty_koncertowego,P8_3_TXT_1,"Kategoria artysty koncertowego"
szczegóły_artysty_koncertowego_2,P8_3_TXT_2,"Szczegóły artysty koncertowego 2"
szczegóły_artysty_koncertowego_3,P8_3_TXT_3,"Szczegóły artysty koncertowego 3"
nazwa_odwiedzonego_muzeum,P8_4_TXT,"Nazwa odwiedzonego muzeum"
kategoria_odwiedzonego_muzeum,P8_4_TXT_1,"Kategoria odwiedzonego muzeum"
szczegóły_odwiedzonego_muzeum_2,P8_4_TXT_2,"Szczegóły odwiedzonego muzeum 2"
nazwa_odwiedzonego_domu_kultury,P8_6_TXT,"Nazwa odwiedzonego domu/centrum kultury"
kategoria_odwiedzonego_domu_kultury,P8_6_TXT_1,"Kategoria odwiedzonego domu/centrum kultury"
szczegóły_odwiedzonego_domu_kultury_2,P8_6_TXT_2,"Szczegóły odwiedzonego domu/centrum kultury 2"
szczegóły_odwiedzonego_domu_kultury_3,P8_6_TXT_3,"Szczegóły odwiedzonego domu/centrum kultury 3"
nazwa_odwiedzonej_filharmonii,P8_9_TXT,"Nazwa odwiedzonej filharmonii/opery"
kategoria_odwiedzonej_filharmonii,P8_9_TXT_1,"Kategoria odwiedzonej filharmonii/opery"
szczegóły_odwiedzonej_filharmonii_2,P8_9_TXT_2,"Szczegóły odwiedzonej filharmonii/opery 2"
nazwa_artysty_ze_spotkania,P8_10_TXT,"Nazwa artysty ze spotkania"
kategoria_artysty_ze_spotkania,P8_10_TXT_1,"Kategoria artysty ze spotkania"
szczegóły_artysty_ze_spotkania_2,P8_10_TXT_2,"Szczegóły artysty ze spotkania 2"
szczegóły_artysty_ze_spotkania_3,P8_10_TXT_3,"Szczegóły artysty ze spotkania 3"
inna_aktywność_tekst,P8_12_TXT,"Inna aktywność (tekst)"
inna_aktywność_kategoria,rP8_12_TXT_1,"Inna aktywność (kategoria)"
inna_aktywność_szczegóły_2,rP8_12_TXT_2,"Szczegóły innej aktywności 2"
biblioteka_wypożyczanie_książek,P9_1,"Aktywność w bibliotece: wypożyczanie książek"
biblioteka_wypożyczanie_innych_rzeczy,P9_2,"Aktywność w bibliotece: wypożyczanie innych rzeczy"
biblioteka_spotkanie_z_artystą,P9_3,"Aktywność w bibliotece: spotkanie z artystą"
biblioteka_prelekcja,P9_4,"Aktywność w bibliotece: odczyt / prelekcja"
biblioteka_wystawa,P9_5,"Aktywność w bibliotece: wystawa"
biblioteka_inne,P9_6,"Aktywność w bibliotece: coś innego"
dom_kultury_spotkanie_z_artystą,P10_1,"Aktywność w domu kultury: spotkanie z artystą"
dom_kultury_prelekcja,P10_2,"Aktywność w domu kultury: odczyt / prelekcja"
dom_kultury_film,P10_3,"Aktywność w domu kultury: pokaz filmu"
dom_kultury_teatr,P10_4,"Aktywność w domu kultury: przedstawienie teatralne"
dom_kultury_koncert,P10_5,"Aktywność w domu kultury: koncert"
dom_kultury_wystawa,P10_6,"Aktywność w domu kultury: wystawa"
dom_kultury_inne,P10_7,"Aktywność w domu kultury: coś innego"
powód_braku_uczestnictwa_tekst,P11_TXT,"Powód braku uczestnictwa w wydarzeniach kulturalnych (tekst)"
powód_braku_uczestnictwa_kategoria,P11_TXT_1,"Powód braku uczestnictwa w wydarzeniach kulturalnych (kategoria)"
powód_braku_uczestnictwa_szczegóły_2,P11_TXT_2,"Szczegóły powodu braku uczestnictwa 2"
powód_braku_uczestnictwa_szczegóły_3,P11_TXT_3,"Szczegóły powodu braku uczestnictwa 3"
cyfrowa_kultura_wydarzenia_online,P12_1,"Cyfrowa kultura: wydarzenia kulturalne transmitowane online"
cyfrowa_kultura_wystawy_interaktywne,P12_2,"Cyfrowa kultura: interaktywne wystawy"
cyfrowa_kultura_nowe_media,P12_3,"Cyfrowa kultura: wydarzenia związane ze sztuką nowych mediów"
cyfrowa_kultura_podcasty,P12_4,"Cyfrowa kultura: opowieści dźwiękowe i podcasty"
cyfrowa_kultura_social_media,P12_5,"Cyfrowa kultura: oglądanie lub tworzenie treści na Youtube/TikToku"
cyfrowa_kultura_wsparcie_artystów,P12_6,"Cyfrowa kultura: wsparcie finansowe artystów z GZM"
cyfrowa_kultura_instalacje_dźwiękowe,P12_7,"Cyfrowa kultura: interaktywne instalacje dźwiękowe"
cyfrowa_kultura_gry,P12_8,"Cyfrowa kultura: gry komputerowe i kultura gamingowa"
cyfrowa_kultura_vr,P12_9,"Cyfrowa kultura: immersyjne doświadczenia w wirtualnej rzeczywistości"
cyfrowa_kultura_inne,P12_10,"Cyfrowa kultura: inne"
cyfrowa_kultura_żadne,P12_11,"Cyfrowa kultura: żadna z powyższych"
uczestnictwo_miejsce_zamieszkania,P13_1,"Miejsce uczestnictwa w kulturze: w mieście/wsi gdzie mieszkam"
uczestnictwo_miejsce_pracy,P13_2,"Miejsce uczestnictwa w kulturze: w mieście/wsi, w którym pracuję"
uczestnictwo_inne_miejsce_gzm,P13_3,"Miejsce uczestnictwa w kulturze: w innym mieście/wsi na terenie GZM"
uczestnictwo_poza_gzm,P13_4,"Miejsce uczestnictwa w kulturze: poza terenem GZM"
uczestnictwo_żadne_miejsca,P13_5,"Miejsce uczestnictwa w kulturze: żadne z powyższych"
skojarzenia_wydarzenia_gzm_1_tekst,P14_1_TXT,"Skojarzenia z wydarzeniami GZM 1 (tekst)"
skojarzenia_wydarzenia_gzm_2_tekst,P14_2_TXT,"Skojarzenia z wydarzeniami GZM 2 (tekst)"
skojarzenia_wydarzenia_gzm_3_tekst,P14_3_TXT,"Skojarzenia z wydarzeniami GZM 3 (tekst)"
skojarzenia_wydarzenia_gzm_4_tekst,P14_4_TXT,"Skojarzenia z wydarzeniami GZM 4 (tekst)"
skojarzenia_wydarzenia_gzm_5_tekst,P14_5_TXT,"Skojarzenia z wydarzeniami GZM 5 (tekst)"
skojarzenia_wydarzenia_gzm_1_kategoria,P14_1_TXT_1,"Skojarzenia z wydarzeniami GZM 1 (kategoria)"
skojarzenia_wydarzenia_gzm_1_szczegóły_2,P14_1_TXT_2,"Szczegóły skojarzeń z wydarzeniami GZM 1.2"
skojarzenia_wydarzenia_gzm_1_szczegóły_3,P14_1_TXT_3,"Szczegóły skojarzeń z wydarzeniami GZM 1.3"
skojarzenia_wydarzenia_gzm_2_kategoria,P14_2_TXT_1,"Skojarzenia z wydarzeniami GZM 2 (kategoria)"
skojarzenia_wydarzenia_gzm_3_kategoria,P14_3_TXT_1,"Skojarzenia z wydarzeniami GZM 3 (kategoria)"
skojarzenia_wydarzenia_gzm_3_szczegóły_2,P14_3_TXT_2,"Szczegóły skojarzeń z wydarzeniami GZM 3.2"
skojarzenia_wydarzenia_gzm_4_kategoria,P14_4_TXT_1,"Skojarzenia z wydarzeniami GZM 4 (kategoria)"
skojarzenia_wydarzenia_gzm_4_szczegóły_2,P14_4_TXT_2,"Szczegóły skojarzeń z wydarzeniami GZM 4.2"
skojarzenia_wydarzenia_gzm_5_kategoria,P14_5_TXT_1,"Skojarzenia z wydarzeniami GZM 5 (kategoria)"
skojarzenia_miejsca_gzm_1_tekst,P15_1_TXT,"Skojarzenia z instytucjami/miejscami GZM 1 (tekst)"
skojarzenia_miejsca_gzm_2_tekst,P15_2_TXT,"Skojarzenia z instytucjami/miejscami GZM 2 (tekst)"
skojarzenia_miejsca_gzm_3_tekst,P15_3_TXT,"Skojarzenia z instytucjami/miejscami GZM 3 (tekst)"
skojarzenia_miejsca_gzm_4_tekst,P15_4_TXT,"Skojarzenia z instytucjami/miejscami GZM 4 (tekst)"
skojarzenia_miejsca_gzm_5_tekst,P15_5_TXT,"Skojarzenia z instytucjami/miejscami GZM 5 (tekst)"
skojarzenia_miejsca_gzm_1_kategoria,P15_1_TXT_1,"Skojarzenia z instytucjami/miejscami GZM 1 (kategoria)"
skojarzenia_miejsca_gzm_1_szczegóły_2,P15_1_TXT_2,"Szczegóły skojarzeń z instytucjami/miejscami GZM 1.2"
skojarzenia_miejsca_gzm_2_kategoria,P15_2_TXT_1,"Skojarzenia z instytucjami/miejscami GZM 2 (kategoria)"
skojarzenia_miejsca_gzm_3_kategoria,P15_3_TXT_1,"Skojarzenia z instytucjami/miejscami GZM 3 (kategoria)"
skojarzenia_miejsca_gzm_3_szczegóły_2,P15_3_TXT_2,"Szczegóły skojarzeń z instytucjami/miejscami GZM 3.2"
skojarzenia_miejsca_gzm_4_kategoria,P15_4_TXT_1,"Skojarzenia z instytucjami/miejscami GZM 4 (kategoria)"
skojarzenia_miejsca_gzm_5_kategoria,P15_5_TXT_1,"Skojarzenia z instytucjami/miejscami GZM 5 (kategoria)"
skojarzenia_miejsca_gzm_5_szczegóły_2,P15_5_TXT_2,"Szczegóły skojarzeń z instytucjami/miejscami GZM 5.2"
informacja_prasa_drukowana,P16_1,"Źródło informacji o kulturze: prasa drukowana"
informacja_plakaty,P16_2,"Źródło informacji o kulturze: plakaty/ogłoszenia/reklamy"
informacja_portale_lokalne,P16_3,"Źródło informacji o kulturze: lokalne portale/strony"
informacja_portale_ogólnopolskie,P16_4,"Źródło informacji o kulturze: ogólnopolskie portale/strony"
informacja_social_media_instytucje,P16_5,"Źródło informacji o kulturze: profile instytucji w mediach społecznościowych"
informacja_social_media_twórcy,P16_6,"Źródło informacji o kulturze: profile twórców w mediach społecznościowych"
informacja_social_media_inne,P16_7,"Źródło informacji o kulturze: inne profile w mediach społecznościowych"
informacja_znajomi_rodzina,P16_8,"Źródło informacji o kulturze: od znajomych/rodziny"
informacja_radio,P16_9,"Źródło informacji o kulturze: radio"
informacja_telewizja,P16_10,"Źródło informacji o kulturze: telewizja"
informacja_strony_instytucji,P16_11,"Źródło informacji o kulturze: strony internetowe instytucji kultury"
informacja_strony_ogólne,P16_12,"Źródło informacji o kulturze: ogólnotematyczne strony internetowe"
informacja_inne_źródła,P16_13,"Źródło informacji o kulturze: inne źródła"
informacja_żadne_źródła,P16_14,"Źródło informacji o kulturze: żadne z powyższych"
preferowane_miejsce_dom,P17_1,"Preferowane miejsce wydarzeń: w domu"
preferowane_miejsce_instytucja_kultury,P17_2,"Preferowane miejsce wydarzeń: w siedzibie instytucji kultury"
preferowane_miejsce_przestrzeń_publiczna,P17_3,"Preferowane miejsce wydarzeń: w przestrzeni publicznej"
preferowane_miejsce_przestrzeń_tymczasowa,P17_4,"Preferowane miejsce wydarzeń: w tymczasowo zaaranżowanej przestrzeni"
preferowane_miejsce_stadion,P17_5,"Preferowane miejsce wydarzeń: na stadionie"
preferowane_miejsce_pub_klub,P17_6,"Preferowane miejsce wydarzeń: w pubie/klubie/restauracji"
preferowane_miejsce_inne,P17_7,"Preferowane miejsce wydarzeń: inne miejsce"
preferowane_miejsce_żadne,P17_8,"Preferowane miejsce wydarzeń: żadne z powyższych"
miejsce_kultury_bytom,rP18_1,"Miejsce kulturalne: Bytom"
miejsce_kultury_chorzów,rP18_2,"Miejsce kulturalne: Chorzów"
miejsce_kultury_dąbrowa_górnicza,rP18_3,"Miejsce kulturalne: Dąbrowa Górnicza"
miejsce_kultury_gliwice,rP18_4,"Miejsce kulturalne: Gliwice"
miejsce_kultury_katowice,rP18_5,"Miejsce kulturalne: Katowice"
miejsce_kultury_mysłowice,rP18_6,"Miejsce kulturalne: Mysłowice"
miejsce_kultury_piekary_śląskie,rP18_7,"Miejsce kulturalne: Piekary Śląskie"
miejsce_kultury_ruda_śląska,rP18_8,"Miejsce kulturalne: Ruda Śląska"
miejsce_kultury_siemianowice_śląskie,rP18_9,"Miejsce kulturalne: Siemianowice Śląskie"
miejsce_kultury_sosnowiec,rP18_10,"Miejsce kulturalne: Sosnowiec"
miejsce_kultury_świętochłowice,rP18_11,"Miejsce kulturalne: Świętochłowice"
miejsce_kultury_tychy,rP18_12,"Miejsce kulturalne: Tychy"
miejsce_kultury_zabrze,rP18_13,"Miejsce kulturalne: Zabrze"
miejsce_kultury_inne,rP18_14,"Miejsce kulturalne: Innego"
miejsce_kultury_nie_pamiętam,rP18_15,"Miejsce kulturalne: Nie pamiętam"
miejsce_kultury_żadne,rP18_16,"Miejsce kulturalne: Żadne z powyższych"
miejsce_kultury_inne_tekst,P18_TXT,"Miejsce kulturalne: Inne (tekst)"
miejsce_kultury_inne_kategoria,rP18_TXT_1,"Miejsce kulturalne: Inne (kategoria)"
miejsce_kultury_inne_szczegóły_2,rP18_TXT_2,"Szczegóły innego miejsca kulturalnego 2"
miejsce_kultury_inne_szczegóły_3,rP18_TXT_3,"Szczegóły innego miejsca kulturalnego 3"
wydarzenie_dzielnicowe,P19_1,"Preferowany zasięg wydarzenia: dzielnicowe"
wydarzenie_miejskie,P19_2,"Preferowany zasięg wydarzenia: miejskie"
wydarzenie_regionalne,P19_3,"Preferowany zasięg wydarzenia: regionalne"
wydarzenie_ogólnopolskie,P19_4,"Preferowany zasięg wydarzenia: ogólnopolskie"
wydarzenie_międzynarodowe,P19_5,"Preferowany zasięg wydarzenia: międzynarodowe"
wydarzenie_niezależne,P19_6,"Preferowany zasięg wydarzenia: niezależne od administracji"
wydarzenie_brak_opinii,P19_7,"Preferowany zasięg wydarzenia: trudno powiedzieć"
wydatki_na_kulturę_kwota,rP20,"Miesięczne wydatki na kulturę"
wydatki_na_kulturę_kategoria,rrP20,"Miesięczne wydatki na kulturę (kategoria)"
uczestnictwo_poza_gzm_czas,P21,"Korzystanie z oferty kulturalnej poza GZM"
miejsce_poza_gzm_tekst,P21a_TXT,"Lokalizacja poza GZM"
miejsce_poza_gzm_kategoria,P21a_TXT_1,"Kategoria lokalizacji poza GZM"
miejsce_poza_gzm_szczegóły_2,P21a_TXT_2,"Szczegóły lokalizacji poza GZM 2"
miejsce_poza_gzm_szczegóły_3,P21a_TXT_3,"Szczegóły lokalizacji poza GZM 3"
miejsce_poza_gzm_szczegóły_4,P21a_TXT_4,"Szczegóły lokalizacji poza GZM 4"
miejsce_poza_gzm_szczegóły_5,P21a_TXT_5,"Szczegóły lokalizacji poza GZM 5"
aktywność_poza_gzm_tekst,P21b_TXT,"Aktywność poza GZM"
aktywność_poza_gzm_kategoria,P21b_TXT_1,"Kategoria aktywności poza GZM"
aktywność_poza_gzm_szczegóły_2,P21b_TXT_2,"Szczegóły aktywności poza GZM 2"
aktywność_poza_gzm_szczegóły_3,P21b_TXT_3,"Szczegóły aktywności poza GZM 3"
aktywność_poza_gzm_szczegóły_4,P21b_TXT_4,"Szczegóły aktywności poza GZM 4"
aktywność_poza_gzm_szczegóły_5,P21b_TXT_5,"Szczegóły aktywności poza GZM 5"
kultura_domowa_tv,P22_1,"Uczestnictwo w kulturze w domu: oglądanie programów w TV"
kultura_domowa_radio,P22_2,"Uczestnictwo w kulturze w domu: słuchanie audycji w radiu"
kultura_domowa_podcasty,P22_3,"Uczestnictwo w kulturze w domu: słuchanie podcastów"
kultura_domowa_internet,P22_4,"Uczestnictwo w kulturze w domu: oglądanie/czytanie treści w Internecie"
kultura_domowa_prasa,P22_5,"Uczestnictwo w kulturze w domu: czytanie prasy drukowanej"
kultura_domowa_książki,P22_6,"Uczestnictwo w kulturze w domu: czytanie książek dla przyjemności"
kultura_domowa_inne,P22_7,"Uczestnictwo w kulturze w domu: inne aktywności"
kultura_domowa_żadne,P22_8,"Uczestnictwo w kulturze w domu: żadne z powyższych"
kontakt_z_artystą_lokalnym,P23,"Zetknięcie się z twórczością lokalnego artysty z GZM"
nazwa_artysty_lokalnego,P23a_TXT,"Nazwisko lokalnego artysty"
kategoria_artysty_lokalnego,P23a_TXT_1,"Kategoria lokalnego artysty"
szczegóły_artysty_lokalnego_2,P23a_TXT_2,"Szczegóły lokalnego artysty 2"
